data,method1,method2,criteria,value,methods
TCGA,K-Means++,Spectral (NN),ARI,0.5761060760930198,K-Means++:Spectral (NN)
TCGA,K-Means++,Spectral (NN),MI,0.6152363883166176,K-Means++:Spectral (NN)
TCGA,K-Means++,Spectral (NN),Fowlkes Mallows,0.67700967370843,K-Means++:Spectral (NN)
TCGA,K-Means++,Spectral (NN),V Measure,0.6220464569111204,K-Means++:Spectral (NN)
TCGA,Birch,Spectral (NN),ARI,0.46959816694025536,Birch:Spectral (NN)
TCGA,Birch,Spectral (NN),MI,0.5142797796836315,Birch:Spectral (NN)
TCGA,Birch,Spectral (NN),Fowlkes Mallows,0.60202443166344,Birch:Spectral (NN)
TCGA,Birch,Spectral (NN),V Measure,0.5231147336856631,Birch:Spectral (NN)
TCGA,Spectral (NN),Spectral (NN),ARI,1.0,Spectral (NN):Spectral (NN)
TCGA,Spectral (NN),Spectral (NN),MI,1.0,Spectral (NN):Spectral (NN)
TCGA,Spectral (NN),Spectral (NN),Fowlkes Mallows,1.0,Spectral (NN):Spectral (NN)
TCGA,Spectral (NN),Spectral (NN),V Measure,1.0,Spectral (NN):Spectral (NN)
TCGA,Spectral (NN),Spectral (RBF),ARI,0.0004774707563221763,Spectral (NN):Spectral (RBF)
TCGA,Spectral (NN),Spectral (RBF),MI,0.0017933531945893016,Spectral (NN):Spectral (RBF)
TCGA,Spectral (NN),Spectral (RBF),Fowlkes Mallows,0.4995927203333294,Spectral (NN):Spectral (RBF)
TCGA,Spectral (NN),Spectral (RBF),V Measure,0.011594231565666802,Spectral (NN):Spectral (RBF)
TCGA,Gaussian MM,Spectral (RBF),ARI,0.0010031581618613348,Gaussian MM:Spectral (RBF)
TCGA,Gaussian MM,Spectral (RBF),MI,0.0027946969242199507,Gaussian MM:Spectral (RBF)
TCGA,Gaussian MM,Spectral (RBF),Fowlkes Mallows,0.48463807953953447,Gaussian MM:Spectral (RBF)
TCGA,Gaussian MM,Spectral (RBF),V Measure,0.012540498631679125,Gaussian MM:Spectral (RBF)
TCGA,HC (average),Spectral (RBF),ARI,-0.0021494287411525093,HC (average):Spectral (RBF)
TCGA,HC (average),Spectral (RBF),MI,-0.00023050081233449266,HC (average):Spectral (RBF)
TCGA,HC (average),Spectral (RBF),Fowlkes Mallows,0.8908660418863678,HC (average):Spectral (RBF)
TCGA,HC (average),Spectral (RBF),V Measure,0.008352819288344863,HC (average):Spectral (RBF)
TCGA,HC (complete),Spectral (RBF),ARI,0.00322986952100513,HC (complete):Spectral (RBF)
TCGA,HC (complete),Spectral (RBF),MI,0.007847102506591375,HC (complete):Spectral (RBF)
TCGA,HC (complete),Spectral (RBF),Fowlkes Mallows,0.6057800333626532,HC (complete):Spectral (RBF)
TCGA,HC (complete),Spectral (RBF),V Measure,0.01727965115751789,HC (complete):Spectral (RBF)
TCGA,HC (single),Spectral (RBF),ARI,0.00976340229932889,HC (single):Spectral (RBF)
TCGA,HC (single),Spectral (RBF),MI,0.010188387729638156,HC (single):Spectral (RBF)
TCGA,HC (single),Spectral (RBF),Fowlkes Mallows,0.9814083557420605,HC (single):Spectral (RBF)
TCGA,HC (single),Spectral (RBF),V Measure,0.016496758462614277,HC (single):Spectral (RBF)
TCGA,HC (ward),Spectral (RBF),ARI,0.002264871811696792,HC (ward):Spectral (RBF)
TCGA,HC (ward),Spectral (RBF),MI,0.0037137233551120634,HC (ward):Spectral (RBF)
TCGA,HC (ward),Spectral (RBF),Fowlkes Mallows,0.4973695496482477,HC (ward):Spectral (RBF)
TCGA,HC (ward),Spectral (RBF),V Measure,0.013458473001761492,HC (ward):Spectral (RBF)
TCGA,K-Means,Spectral (RBF),ARI,0.00109506765068304,K-Means:Spectral (RBF)
TCGA,K-Means,Spectral (RBF),MI,0.0025133121649867714,K-Means:Spectral (RBF)
TCGA,K-Means,Spectral (RBF),Fowlkes Mallows,0.4843256379451881,K-Means:Spectral (RBF)
TCGA,K-Means,Spectral (RBF),V Measure,0.012299356793793764,K-Means:Spectral (RBF)
TCGA,K-Means (minibatch),Spectral (RBF),ARI,0.0010195777433469801,K-Means (minibatch):Spectral (RBF)
TCGA,K-Means (minibatch),Spectral (RBF),MI,0.003949345989816843,K-Means (minibatch):Spectral (RBF)
TCGA,K-Means (minibatch),Spectral (RBF),Fowlkes Mallows,0.49297278703937486,K-Means (minibatch):Spectral (RBF)
TCGA,K-Means (minibatch),Spectral (RBF),V Measure,0.013679131138352393,K-Means (minibatch):Spectral (RBF)
TCGA,K-Means++,Spectral (RBF),ARI,0.0013197565836415512,K-Means++:Spectral (RBF)
TCGA,K-Means++,Spectral (RBF),MI,0.0027819443084643614,K-Means++:Spectral (RBF)
TCGA,K-Means++,Spectral (RBF),Fowlkes Mallows,0.48067446156387206,K-Means++:Spectral (RBF)
TCGA,K-Means++,Spectral (RBF),V Measure,0.01256235298317965,K-Means++:Spectral (RBF)
TCGA,Birch,Spectral (RBF),ARI,0.002264871811696792,Birch:Spectral (RBF)
TCGA,Birch,Spectral (RBF),MI,0.0037137233551120634,Birch:Spectral (RBF)
TCGA,Birch,Spectral (RBF),Fowlkes Mallows,0.4973695496482477,Birch:Spectral (RBF)
TCGA,Birch,Spectral (RBF),V Measure,0.013458473001761492,Birch:Spectral (RBF)
TCGA,Spectral (RBF),Spectral (RBF),ARI,1.0,Spectral (RBF):Spectral (RBF)
TCGA,Spectral (RBF),Spectral (RBF),MI,1.0,Spectral (RBF):Spectral (RBF)
TCGA,Spectral (RBF),Spectral (RBF),Fowlkes Mallows,1.0,Spectral (RBF):Spectral (RBF)
TCGA,Spectral (RBF),Spectral (RBF),V Measure,1.0,Spectral (RBF):Spectral (RBF)
Author,Gaussian MM,Gaussian MM,ARI,1.0,Gaussian MM:Gaussian MM
Author,Gaussian MM,Gaussian MM,MI,1.0,Gaussian MM:Gaussian MM
Author,Gaussian MM,Gaussian MM,Fowlkes Mallows,1.0,Gaussian MM:Gaussian MM
Author,Gaussian MM,Gaussian MM,V Measure,1.0,Gaussian MM:Gaussian MM
Author,Gaussian MM,K-Means,ARI,0.8253859607516252,Gaussian MM:K-Means
Author,Gaussian MM,K-Means,MI,0.8394123760913926,Gaussian MM:K-Means
Author,Gaussian MM,K-Means,Fowlkes Mallows,0.8779864807142786,Gaussian MM:K-Means
Author,Gaussian MM,K-Means,V Measure,0.8403879096504544,Gaussian MM:K-Means
Author,Gaussian MM,HC (average),ARI,0.7928821744799959,Gaussian MM:HC (average)
Author,Gaussian MM,HC (average),MI,0.7801997008123996,Gaussian MM:HC (average)
Author,Gaussian MM,HC (average),Fowlkes Mallows,0.8586341195584812,Gaussian MM:HC (average)
Author,Gaussian MM,HC (average),V Measure,0.7815753774176306,Gaussian MM:HC (average)
Author,HC (average),HC (average),ARI,1.0,HC (average):HC (average)
Author,HC (average),HC (average),MI,1.0,HC (average):HC (average)
Author,HC (average),HC (average),Fowlkes Mallows,1.0,HC (average):HC (average)
Author,HC (average),HC (average),V Measure,1.0,HC (average):HC (average)
Author,HC (average),HC (single),ARI,0.0006784823125132364,HC (average):HC (single)
Author,HC (average),HC (single),MI,0.0030772511841865007,HC (average):HC (single)
Author,HC (average),HC (single),Fowlkes Mallows,0.5677231027189692,HC (average):HC (single)
Author,HC (average),HC (single),V Measure,0.01319568746583153,HC (average):HC (single)
Author,HC (average),K-Means,ARI,0.8538292053545175,HC (average):K-Means
Author,HC (average),K-Means,MI,0.8182660324548352,HC (average):K-Means
Author,HC (average),K-Means,Fowlkes Mallows,0.9006014569908135,HC (average):K-Means
Author,HC (average),K-Means,V Measure,0.8194219116660584,HC (average):K-Means
Author,HC (average),K-Means (minibatch),ARI,0.7871958784232025,HC (average):K-Means (minibatch)
Author,HC (average),K-Means (minibatch),MI,0.7721467122791161,HC (average):K-Means (minibatch)
Author,HC (average),K-Means (minibatch),Fowlkes Mallows,0.8544922250299958,HC (average):K-Means (minibatch)
Author,HC (average),K-Means (minibatch),V Measure,0.7735727468164787,HC (average):K-Means (minibatch)
Author,HC (average),K-Means++,ARI,0.8528676215172111,HC (average):K-Means++
Author,HC (average),K-Means++,MI,0.8170181046806425,HC (average):K-Means++
Author,HC (average),K-Means++,Fowlkes Mallows,0.8998937513108085,HC (average):K-Means++
Author,HC (average),K-Means++,V Measure,0.818180566988184,HC (average):K-Means++
Author,Birch,HC (average),ARI,0.8694639779064046,Birch:HC (average)
Author,Birch,HC (average),MI,0.8472498160501964,Birch:HC (average)
Author,Birch,HC (average),Fowlkes Mallows,0.9112746632720078,Birch:HC (average)
Author,Birch,HC (average),V Measure,0.8482242532851927,Birch:HC (average)
Author,Gaussian MM,HC (complete),ARI,0.7397439380569237,Gaussian MM:HC (complete)
Author,Gaussian MM,HC (complete),MI,0.7588924790280975,Gaussian MM:HC (complete)
Author,Gaussian MM,HC (complete),Fowlkes Mallows,0.8158358201239824,Gaussian MM:HC (complete)
Author,Gaussian MM,HC (complete),V Measure,0.7603435621488239,Gaussian MM:HC (complete)
Author,HC (average),HC (complete),ARI,0.8168340534239209,HC (average):HC (complete)
Author,HC (average),HC (complete),MI,0.806926995976886,HC (average):HC (complete)
Author,HC (average),HC (complete),Fowlkes Mallows,0.8744403274036592,HC (average):HC (complete)
Author,HC (average),HC (complete),V Measure,0.808138525512785,HC (average):HC (complete)
