data,method1,method2,noise,sigma,criteria,value,methods
Ceramic,HC (average),HC (average),Laplace,0.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.5,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.5,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.5,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.5,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.0,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.5,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.5,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.5,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,1.5,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,2.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,2.0,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,2.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,2.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.0,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.5,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.5,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.5,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,0.5,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.0,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.5,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.5,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.5,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,1.5,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,2.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,2.0,MI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,2.0,Fowlkes Mallows,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Normal,2.0,V Measure,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (single),Laplace,0.0,ARI,0.00454610029833784,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.0,MI,0.003109086220759415,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.0,Fowlkes Mallows,0.6995620827880628,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.0,V Measure,0.02406371824299168,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.5,ARI,-0.0003147719568613233,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.5,MI,0.00010990384359995422,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.5,Fowlkes Mallows,0.7071151477681684,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,0.5,V Measure,0.02093586380666568,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.0,ARI,-0.0014692057349200624,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.0,MI,-0.0012451675180926917,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.0,Fowlkes Mallows,0.7297007966805782,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.0,V Measure,0.019224425810243553,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.5,ARI,0.014985822953271676,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.5,MI,0.01570540822758827,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.5,Fowlkes Mallows,0.8100412114754896,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,1.5,V Measure,0.03434036947512146,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,2.0,ARI,0.007417454803019651,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,2.0,MI,0.007561263683620966,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,2.0,Fowlkes Mallows,0.8506806403894045,HC (average):HC (single)
Ceramic,HC (average),HC (single),Laplace,2.0,V Measure,0.02561095217991118,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.0,ARI,0.00454610029833784,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.0,MI,0.003109086220759415,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.0,Fowlkes Mallows,0.6995620827880628,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.0,V Measure,0.02406371824299168,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.5,ARI,0.0006999234205803946,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.5,MI,0.00047652848634704715,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.5,Fowlkes Mallows,0.7008639103542305,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,0.5,V Measure,0.021477040464444812,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.0,ARI,-0.00043085264829005105,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.0,MI,-0.0002595738939701637,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.0,Fowlkes Mallows,0.7185406502690214,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.0,V Measure,0.0203652785276039,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.5,ARI,0.0017843084509005524,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.5,MI,0.0011316518385665094,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.5,Fowlkes Mallows,0.8018565488575846,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,1.5,V Measure,0.019861241360500208,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,2.0,ARI,-0.0029194540667843273,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,2.0,MI,-0.003060745023254653,HC (average):HC (single)
Ceramic,HC (average),HC (single),Normal,2.0,Fowlkes Mallows,0.8515990889492691,HC (average):HC (single)
