data,model,iter,test_acc
MNIST,RF,43,0.958095238095238
MNIST,RF,44,0.9597619047619048
MNIST,RF,45,0.9608571428571429
MNIST,RF,46,0.9552380952380952
MNIST,RF,47,0.9631428571428572
MNIST,RF,48,0.9546190476190476
MNIST,RF,49,0.9642380952380952
MNIST,RF,50,0.9645714285714284
MNIST,RF,51,0.955095238095238
MNIST,RF,52,0.9540476190476189
MNIST,RF,53,0.9606666666666668
MNIST,RF,54,0.9605238095238096
MNIST,RF,55,0.960095238095238
MNIST,RF,56,0.963095238095238
MNIST,RF,57,0.9646190476190476
MNIST,RF,58,0.9641428571428572
MNIST,RF,59,0.9651428571428572
PANCAN,MLP,89,0.38864627480506897
PANCAN,MLP,62,1.0
PANCAN,MLP,76,0.9912663698196412
PANCAN,SVM,11,1.0
PANCAN,SVM,39,1.0
PANCAN,Tree,66,0.965065502183406
PANCAN,Tree,72,0.960698689956332
PANCAN,LogisticLASSO,34,1.0
PANCAN,LogisticLASSO,20,1.0
PANCAN,Tree,99,0.982532751091703
PANCAN,Tree,98,0.965065502183406
PANCAN,LogisticLASSO,21,1.0
PANCAN,LogisticLASSO,35,0.9956331877729258
PANCAN,Tree,73,0.9912663755458516
PANCAN,Tree,67,0.960698689956332
PANCAN,SVM,38,1.0
PANCAN,SVM,10,1.0
PANCAN,MLP,77,0.9956331849098206
PANCAN,MLP,63,0.9737991094589232
PANCAN,MLP,88,0.4978165924549103
PANCAN,MLP,75,0.9563318490982056
PANCAN,MLP,61,0.960698664188385
PANCAN,MLP,49,0.9781659245491028
PANCAN,SVM,12,1.0
PANCAN,Tree,71,0.9694323144104804
PANCAN,Tree,65,0.9257641921397379
PANCAN,Tree,59,0.965065502183406
PANCAN,LogisticLASSO,23,0.9956331877729258
PANCAN,LogisticLASSO,37,1.0
PANCAN,LogisticLASSO,36,0.9956331877729258
PANCAN,LogisticLASSO,22,1.0
PANCAN,Tree,58,0.9694323144104804
PANCAN,Tree,64,0.982532751091703
PANCAN,Tree,70,0.9781659388646288
PANCAN,SVM,13,1.0
PANCAN,MLP,48,0.9868995547294616
PANCAN,MLP,60,0.9781659245491028
PANCAN,MLP,74,0.9344978332519532
PANCAN,XGB,65,0.9956331877729258
