data,method,sigma,noise,criteria,Consistency,Accuracy
PANCAN,HC (complete),5.0,laplace,fowlkes mallows,0.4008863450274766,0.3134059759964327
PANCAN,HC (complete),5.0,laplace,v_measure,0.009088572314718513,0.018474034918043072
PANCAN,HC (complete),5.0,normal,ARI,0.0015576986723342323,0.008933784598625441
PANCAN,HC (complete),5.0,normal,MI,0.0020687785643401127,0.01369178582481102
PANCAN,HC (complete),5.0,normal,fowlkes mallows,0.285453861014885,0.3206228182074906
PANCAN,HC (complete),5.0,normal,v_measure,0.009900716525745623,0.022042033593728187
PANCAN,HC (single),0.0,laplace,ARI,1.0,-0.0008938928626245343
PANCAN,HC (single),0.0,laplace,MI,1.0,-0.0010218892744286404
PANCAN,HC (single),0.0,laplace,fowlkes mallows,1.0,0.49299823510481394
PANCAN,HC (single),0.0,laplace,v_measure,1.0,0.009245928890546653
PANCAN,HC (single),0.0,normal,ARI,1.0,-0.0008938928626245343
PANCAN,HC (single),0.0,normal,MI,1.0,-0.0010218892744286404
PANCAN,HC (single),0.0,normal,fowlkes mallows,1.0,0.49299823510481394
PANCAN,HC (single),0.0,normal,v_measure,1.0,0.009245928890546653
PANCAN,HC (single),1.0,laplace,ARI,0.5181568436020781,0.00016545801327483062
PANCAN,HC (single),1.0,laplace,MI,0.5186574806906736,0.0002128331394439255
PANCAN,HC (single),1.0,laplace,fowlkes mallows,0.9949446291703525,0.49380118458961947
PANCAN,HC (single),1.0,laplace,v_measure,0.521518384413168,0.010467986341379252
PANCAN,HC (single),1.0,normal,ARI,0.7193106121413598,-0.00029624633776706265
PANCAN,HC (single),1.0,normal,MI,0.7192828725825272,-0.0004484765449068274
PANCAN,HC (single),1.0,normal,fowlkes mallows,0.9970454850494758,0.49345122946215775
PANCAN,HC (single),1.0,normal,v_measure,0.7209541657700654,0.009813459932861323
PANCAN,HC (single),2.0,laplace,ARI,0.06780136902679251,-0.00024181401935960176
PANCAN,HC (single),2.0,laplace,MI,0.06791235031194161,-0.0002760793797370114
PANCAN,HC (single),2.0,laplace,fowlkes mallows,0.9902196187621347,0.49349248718234895
PANCAN,HC (single),2.0,laplace,v_measure,0.07345229934977326,0.009984088762330314
PANCAN,HC (single),2.0,normal,ARI,0.4288759789409494,0.0007315910906332451
PANCAN,HC (single),2.0,normal,MI,0.4293531965878444,0.0007852768586355118
PANCAN,HC (single),2.0,normal,fowlkes mallows,0.994007917975307,0.49423029289843146
PANCAN,HC (single),2.0,normal,v_measure,0.4327448885714361,0.011034558312828534
PANCAN,HC (single),3.0,laplace,ARI,0.008965303507301054,6.134894540598332e-06
PANCAN,HC (single),3.0,laplace,MI,0.008980587806487146,-3.5050949871839955e-05
PANCAN,HC (single),3.0,laplace,fowlkes mallows,0.9896023263394971,0.4936804234527608
PANCAN,HC (single),3.0,laplace,v_measure,0.014870803217978635,0.010222644882531766
PANCAN,HC (single),3.0,normal,ARI,0.17323547569813152,0.00038254038329032424
PANCAN,HC (single),3.0,normal,MI,0.17349546784670974,0.0004150554223832534
PANCAN,HC (single),3.0,normal,fowlkes mallows,0.9913258054957746,0.49396572514094117
PANCAN,HC (single),3.0,normal,v_measure,0.17840787387335189,0.010668134362354509
PANCAN,HC (single),4.0,laplace,ARI,0.0017191597642170612,-1.493119988028879e-07
PANCAN,HC (single),4.0,laplace,MI,0.0017220700509431965,9.868847797477715e-07
PANCAN,HC (single),4.0,laplace,fowlkes mallows,0.989526301717753,0.4936756602524673
PANCAN,HC (single),4.0,laplace,v_measure,0.007655427133142822,0.010258313064993701
PANCAN,HC (single),4.0,normal,ARI,0.042562706443095746,0.00010345362968522016
PANCAN,HC (single),4.0,normal,MI,0.04263393149269594,0.0001520248144663729
PANCAN,HC (single),4.0,normal,fowlkes mallows,0.9899548213962204,0.4937411505128387
PANCAN,HC (single),4.0,normal,v_measure,0.04832412514760599,0.010422362589381246
PANCAN,HC (single),5.0,laplace,ARI,0.0009589684074975612,-5.3842311989863784e-05
