data,method,criteria,Accuracy,Consistency
Call,K-Means++,ARI,0.40850997000599226,0.7714146445157809
Call,K-Means++,Fowlkes Mallows,0.5526461644805815,0.8100714628859679
Call,K-Means++,MI,0.6187183408219843,0.8650254556754413
Call,K-Means++,V Measure,0.6203448247887787,0.8658179111998161
Call,Spectral (NN),ARI,0.7102701463370635,0.8259746318961622
Call,Spectral (NN),Fowlkes Mallows,0.7939951884976716,0.8772295314174325
Call,Spectral (NN),MI,0.679548471049127,0.8954357409138589
Call,Spectral (NN),V Measure,0.681173528804768,0.8961748665197782
Call,Spectral (RBF),ARI,0.37919097355150505,0.9677857436543315
Call,Spectral (RBF),Fowlkes Mallows,0.5255192702358826,0.9718032830686539
Call,Spectral (RBF),MI,0.5554457688647215,0.9687708217219757
Call,Spectral (RBF),V Measure,0.5574447806623986,0.9689360113338218
Ceramic,Birch,ARI,0.7143257051295092,0.9136518060159445
Ceramic,Birch,Fowlkes Mallows,0.8595530172604643,0.9586717152142287
Ceramic,Birch,MI,0.7128041849419933,0.9076570548529284
Ceramic,Birch,V Measure,0.7163779064364413,0.9093972882111769
Ceramic,Gaussian MM,ARI,0.9361184141081913,0.8200847903076672
Ceramic,Gaussian MM,Fowlkes Mallows,0.9682868858170766,0.9106926879310459
Ceramic,Gaussian MM,MI,0.9318222230933609,0.8109015597215902
Ceramic,Gaussian MM,V Measure,0.9326638099476066,0.8143367114709676
Ceramic,HC (average),ARI,0.8961699811829,0.9128951555718491
Ceramic,HC (average),Fowlkes Mallows,0.9475938065246515,0.9560963450660117
Ceramic,HC (average),MI,0.8637121749529384,0.8910393985976572
Ceramic,HC (average),V Measure,0.8653728970048093,0.8929978911010665
Ceramic,HC (complete),ARI,0.8436340513613616,0.7713862806747529
Ceramic,HC (complete),Fowlkes Mallows,0.9229744519494966,0.8874946324016304
Ceramic,HC (complete),MI,0.8334770659952708,0.7688915842140623
Ceramic,HC (complete),V Measure,0.835543341063616,0.7731271074984584
Ceramic,HC (single),ARI,0.3837022510906947,0.40337905806779023
Ceramic,HC (single),Fowlkes Mallows,0.7590046579291593,0.8327743994875482
Ceramic,HC (single),MI,0.38493218052422873,0.4106044425681316
Ceramic,HC (single),V Measure,0.3984293165878906,0.4252562484248067
Ceramic,HC (ward),ARI,0.627856483653442,0.8205775520436417
Ceramic,HC (ward),Fowlkes Mallows,0.8170066555344536,0.9129823614535065
Ceramic,HC (ward),MI,0.6263919261869559,0.8217838591813648
Ceramic,HC (ward),V Measure,0.6310406414851746,0.8251030336254793
Ceramic,K-Means,ARI,0.9880055924023609,0.9916901048859065
Ceramic,K-Means,Fowlkes Mallows,0.9940424585711273,0.9958447204678239
Ceramic,K-Means,MI,0.9870874624890992,0.9905537452933295
Ceramic,K-Means,V Measure,0.9872467987304065,0.9907246706543766
Ceramic,K-Means (minibatch),ARI,0.9439390780756876,0.8599328594216983
Ceramic,K-Means (minibatch),Fowlkes Mallows,0.9721589410011298,0.9301933439781627
Ceramic,K-Means (minibatch),MI,0.9405619727788612,0.8499701491483403
Ceramic,K-Means (minibatch),V Measure,0.941295544200074,0.8526853785419153
Ceramic,K-Means++,ARI,0.992133707555612,0.9918460106830865
Ceramic,K-Means++,Fowlkes Mallows,0.9960754692042275,0.9959238730278503
Ceramic,K-Means++,MI,0.9913061127044895,0.990764670012269
Ceramic,K-Means++,V Measure,0.9914130176486563,0.9909316148431258
Ceramic,Spectral (NN),ARI,0.7468480669842541,0.776955794796445
Ceramic,Spectral (NN),Fowlkes Mallows,0.8759036826962672,0.8902787624607476
Ceramic,Spectral (NN),MI,0.7472274657154745,0.7726998589896202
Ceramic,Spectral (NN),V Measure,0.7503798085915269,0.7768802971007355
Ceramic,Spectral (RBF),ARI,0.956427426019667,0.9273864307138485
Ceramic,Spectral (RBF),Fowlkes Mallows,0.978228522031603,0.9636390208333793
Ceramic,Spectral (RBF),MI,0.9474305973196266,0.9148511640386013
Ceramic,Spectral (RBF),V Measure,0.9480755317747375,0.9163854463026968
Iris,Birch,ARI,0.5742367556037575,0.6638758285567653
Iris,Birch,Fowlkes Mallows,0.7280435416314154,0.7948980422530719
Iris,Birch,MI,0.6502550879622194,0.7325460201354415
Iris,Birch,V Measure,0.6568792004302313,0.7404610646603011
Iris,Gaussian MM,ARI,0.7877592463389931,0.7158812764441701
Iris,Gaussian MM,Fowlkes Mallows,0.8660944720366512,0.824130119106594
Iris,Gaussian MM,MI,0.8210723776498356,0.7741274312185051
Iris,Gaussian MM,V Measure,0.8244951736168588,0.7806681269489372
Iris,HC (average),ARI,0.602643350012856,0.8918008230354676
Iris,HC (average),Fowlkes Mallows,0.7417260264304744,0.9313186041047172
Iris,HC (average),MI,0.6684935305647497,0.896537690168387
Iris,HC (average),V Measure,0.674600399386973,0.8994127991906653
Iris,HC (complete),ARI,0.5985721201775567,0.8528413943490304
Iris,HC (complete),Fowlkes Mallows,0.7437759831013999,0.9104245608884164
Iris,HC (complete),MI,0.6866890168630939,0.8460211767542123
Iris,HC (complete),V Measure,0.6925836039811526,0.8505705051499188
Iris,HC (single),ARI,0.47738230759084005,0.757047357151008
Iris,HC (single),Fowlkes Mallows,0.7271847431195867,0.9239073042042109
Iris,HC (single),MI,0.5998567009206083,0.7655263900616966
Iris,HC (single),V Measure,0.6106377766762369,0.7738125971927371
Iris,HC (ward),ARI,0.5742962554276166,0.7880817641067923
Iris,HC (ward),Fowlkes Mallows,0.7194379295996538,0.8633573679276395
Iris,HC (ward),MI,0.6323482618969352,0.8251798474847817
Iris,HC (ward),V Measure,0.6390282872083537,0.829934979076288
Iris,K-Means,ARI,0.6156315909420446,0.8864564944901767
Iris,K-Means,Fowlkes Mallows,0.7420610581095142,0.92397408574367
Iris,K-Means,MI,0.6520621498787074,0.8911160159779096
Iris,K-Means,V Measure,0.6582751381856707,0.893953773809387
Iris,K-Means (minibatch),ARI,0.6164637833842274,0.8559071338376436
Iris,K-Means (minibatch),Fowlkes Mallows,0.7429576663626727,0.9039749631802085
Iris,K-Means (minibatch),MI,0.6523387957478942,0.866895289871336
Iris,K-Means (minibatch),V Measure,0.6585547738845183,0.8703735967880021
Iris,K-Means++,ARI,0.6156235105883581,0.8915735743910516
Iris,K-Means++,Fowlkes Mallows,0.742031501122481,0.9273991418535942
Iris,K-Means++,MI,0.6523922755671611,0.8956080569584801
Iris,K-Means++,V Measure,0.6585987870990475,0.8983296612343552
Iris,Spectral (NN),ARI,0.5283485909519436,0.7336689184278169
Iris,Spectral (NN),Fowlkes Mallows,0.6912251583606706,0.8325171866030003
Iris,Spectral (NN),MI,0.5938041297691526,0.7765538075398174
Iris,Spectral (NN),V Measure,0.60121946030748,0.782780916578764
Iris,Spectral (RBF),ARI,0.5879049323354081,0.9195994192703302
Iris,Spectral (RBF),Fowlkes Mallows,0.7267324863282794,0.9474730001534417
Iris,Spectral (RBF),MI,0.6309337121870544,0.920480060709426
Iris,Spectral (RBF),V Measure,0.6376024789676922,0.9226089746978091
PANCAN,Birch,ARI,0.7151706694870384,0.7840860858772974
PANCAN,Birch,Fowlkes Mallows,0.7833397076086769,0.8342354284103328
PANCAN,Birch,MI,0.8045872381718033,0.8358384394622128
PANCAN,Birch,V Measure,0.8065554887404787,0.8382102651810145
PANCAN,Gaussian MM,ARI,0.6506139768454786,0.708552117099802
PANCAN,Gaussian MM,Fowlkes Mallows,0.7354902762660644,0.7787075051289238
PANCAN,Gaussian MM,MI,0.7367857559219546,0.768766118999235
PANCAN,Gaussian MM,V Measure,0.7394684989331214,0.7721741036741115
PANCAN,HC (average),ARI,0.6148502438186115,0.771841215347362
PANCAN,HC (average),Fowlkes Mallows,0.7060222204305666,0.8228024745288721
PANCAN,HC (average),MI,0.747642446757941,0.8043303606537862
PANCAN,HC (average),V Measure,0.7501713883263771,0.8070986688369255
PANCAN,HC (complete),ARI,0.43002007502958456,0.44126515494995155
PANCAN,HC (complete),Fowlkes Mallows,0.5639774465432383,0.5659073075912135
PANCAN,HC (complete),MI,0.5698618771938704,0.523724593687202
PANCAN,HC (complete),V Measure,0.5741729025001611,0.5305188069367351
PANCAN,HC (single),ARI,0.0,0.7639498371659093
PANCAN,HC (single),Fowlkes Mallows,0.4913072664705127,0.9967171812814526
PANCAN,HC (single),MI,0.0,0.7644746051657273
PANCAN,HC (single),V Measure,0.013964918636770345,0.7661915272822795
PANCAN,HC (ward),ARI,0.6472911362309557,0.7591706643827596
PANCAN,HC (ward),Fowlkes Mallows,0.7316512260229046,0.8146834918720172
PANCAN,HC (ward),MI,0.79244529920453,0.8222821229365729
PANCAN,HC (ward),V Measure,0.7945374447398157,0.824844870004899
PANCAN,K-Means,ARI,0.6821539143193902,0.8460712949735799
PANCAN,K-Means,Fowlkes Mallows,0.7580222143331464,0.8816127213626024
