data,method1,method2,criteria,value,methods
Amphibians,K-Means,K-Means++,V Measure,1.0,K-Means:K-Means++
Amphibians,K-Means (minibatch),K-Means++,ARI,0.9312277446958831,K-Means (minibatch):K-Means++
Amphibians,K-Means (minibatch),K-Means++,MI,0.9260900642561609,K-Means (minibatch):K-Means++
Amphibians,K-Means (minibatch),K-Means++,Fowlkes Mallows,0.9901667144354453,K-Means (minibatch):K-Means++
Amphibians,K-Means (minibatch),K-Means++,V Measure,0.9270970666647956,K-Means (minibatch):K-Means++
Amphibians,K-Means++,K-Means++,ARI,1.0,K-Means++:K-Means++
Amphibians,K-Means++,K-Means++,MI,1.0,K-Means++:K-Means++
Amphibians,K-Means++,K-Means++,Fowlkes Mallows,1.0,K-Means++:K-Means++
Amphibians,K-Means++,K-Means++,V Measure,1.0,K-Means++:K-Means++
Amphibians,Birch,K-Means++,ARI,0.9926020580295468,Birch:K-Means++
Amphibians,Birch,K-Means++,MI,0.9894255856350743,Birch:K-Means++
Amphibians,Birch,K-Means++,Fowlkes Mallows,0.9995156216070841,Birch:K-Means++
Amphibians,Birch,K-Means++,V Measure,0.9895873162128345,Birch:K-Means++
Amphibians,Birch,Gaussian MM,ARI,0.9914108672909646,Birch:Gaussian MM
Amphibians,Birch,Gaussian MM,MI,0.9874752989392046,Birch:Gaussian MM
Amphibians,Birch,Gaussian MM,Fowlkes Mallows,0.9992723457224731,Birch:Gaussian MM
Amphibians,Birch,Gaussian MM,V Measure,0.9876833456645628,Birch:Gaussian MM
Amphibians,Birch,K-Means,ARI,0.9926020580295468,Birch:K-Means
Amphibians,Birch,K-Means,MI,0.9894255856350743,Birch:K-Means
Amphibians,Birch,K-Means,Fowlkes Mallows,0.9995156216070841,Birch:K-Means
Amphibians,Birch,K-Means,V Measure,0.9895873162128345,Birch:K-Means
Amphibians,Birch,Birch,ARI,1.0,Birch:Birch
Amphibians,Birch,Birch,MI,1.0,Birch:Birch
Amphibians,Birch,Birch,Fowlkes Mallows,1.0,Birch:Birch
Amphibians,Birch,Birch,V Measure,1.0,Birch:Birch
Amphibians,Gaussian MM,Spectral (NN),ARI,0.008938911555056283,Gaussian MM:Spectral (NN)
Amphibians,Gaussian MM,Spectral (NN),MI,0.016254055107076865,Gaussian MM:Spectral (NN)
Amphibians,Gaussian MM,Spectral (NN),Fowlkes Mallows,0.7184451367075549,Gaussian MM:Spectral (NN)
Amphibians,Gaussian MM,Spectral (NN),V Measure,0.02987332434830499,Gaussian MM:Spectral (NN)
Amphibians,HC (average),Spectral (NN),ARI,0.09360906948437449,HC (average):Spectral (NN)
Amphibians,HC (average),Spectral (NN),MI,0.07451847894853854,HC (average):Spectral (NN)
Amphibians,HC (average),Spectral (NN),Fowlkes Mallows,0.6100718567773561,HC (average):Spectral (NN)
Amphibians,HC (average),Spectral (NN),V Measure,0.08057572175648575,HC (average):Spectral (NN)
Amphibians,HC (complete),Spectral (NN),ARI,0.03018878941709664,HC (complete):Spectral (NN)
Amphibians,HC (complete),Spectral (NN),MI,0.11657125142652636,HC (complete):Spectral (NN)
Amphibians,HC (complete),Spectral (NN),Fowlkes Mallows,0.6770146198549695,HC (complete):Spectral (NN)
Amphibians,HC (complete),Spectral (NN),V Measure,0.1244150666857332,HC (complete):Spectral (NN)
