data,model,mse
Blog,MLP,1.6790987926911491
Blog,MLP,6.955188539024278
Blog,MLP,1.5759611255013082
Blog,MLP,1.1354147223879063
Blog,MLP,1.2431102430900378
Blog,RF,0.3425939053783381
Blog,RF,0.3265224829332554
Blog,RF,0.31594190795577826
Blog,RF,0.3367649516021564
Blog,RF,0.3130451892540821
Blog,RF,0.3369574548098106
Blog,RF,0.33037895137128803
Blog,RF,0.32109113805016337
Blog,RF,0.3254602610310367
Blog,RF,0.3153139210385393
Blog,RF,0.3578795860922961
Blog,RF,0.3460220217616472
Blog,RF,0.3338492360203756
Blog,RF,0.3313984822105315
Blog,RF,0.3261605459412774
Blog,RF,0.3161931568285697
Blog,RF,0.3294199756081693
Blog,RF,0.3193454775727877
Blog,RF,0.3216894434747112
Blog,RF,0.31537323316548793
Blog,RF,0.34817632282071764
Blog,RF,0.3344917763212813
Blog,RF,0.3082092862179581
Blog,RF,0.3309065341260468
Blog,RF,0.3119617945891569
Blog,RF,0.3327937267614498
Blog,RF,0.3400922965280557
Blog,RF,0.3228403170007855
Blog,RF,0.3196930201236626
Blog,RF,0.3254852443688573
Blog,RF,0.32109609822918506
Blog,RF,0.3182806321481022
Blog,RF,0.325854353358256
Blog,RF,0.3185982226886921
Blog,RF,0.3265601377479899
Blog,RF,0.3170928345504273
Blog,RF,0.3730259847504472
Blog,RF,0.31797206763090496
Blog,RF,0.32793587250902195
Blog,RF,0.3191581466702015
Blog,RF,0.3259117298082985
Blog,RF,0.3153698770554602
Blog,RF,0.3158167069534773
Blog,RF,0.34739571422805204
Blog,RF,0.3238939627994197
Blog,RF,0.32575833164327583
Blog,RF,0.3258177157137848
Blog,RF,0.3330692306538492
Blog,RF,0.3224786667913277
Blog,RF,0.31843426207003056
Blog,RF,0.32556614386066196
Blog,RF,0.3153147587686021
Blog,RF,0.34802743014338394
Blog,RF,0.3215595802758604
Blog,RF,0.3167102557168208
Blog,RF,0.32288206477689274
Blog,RF,0.3217591768620305
Blog,RF,0.3126508409369521
Blog,RF,0.3167797044671972
Blog,RF,0.3289347192629676
Blog,RF,0.3324889424121016
Blog,RF,0.3260176012612067
Blog,RF,0.3337682866689386
Blog,RF,0.3269061213712574
Blog,RF,0.33127089526904946
Blog,RF,0.33810764972669155
Blog,RF,0.32883219647546913
Blog,RF,0.3335829109563822
Blog,RF,0.3303788994076842
Blog,RF,0.328152306627552
Blog,RF,0.341376195093928
Blog,RF,0.3235761702116289
Blog,RF,0.3179534166382498
Blog,RF,0.32625953267392405
Blog,RF,0.30662765164833616
Blog,RF,0.3297131154990186
Blog,RF,0.34680379911733084
Blog,RF,0.3192412085728113
Blog,RF,0.3436527924162873
Blog,RF,0.3689026346940653
Blog,RF,0.3199736856529678
Blog,RF,0.3078417324280188
Blog,RF,0.3271350822034005
Blog,RF,0.3302290541286808
Blog,RF,0.3396103379304685
Blog,RF,0.3270433914475096
Blog,RF,0.32066935405819874
Blog,RF,0.32267146903563515
Blog,RF,0.32227025582713026
Blog,RF,0.3267856459241121
Blog,RF,0.3241789639984708
Blog,RF,0.3272944107472152
Blog,RF,0.31670070489811925
Blog,RF,0.3261792601963677
Blog,RF,0.3113395523373558
Blog,RF,0.3272585983397908
Blog,RF,0.3303783143624517
Blog,RF,0.34017722814593193
Blog,RF,0.3224911046464251
Blog,RF,0.33346008863094284
Blog,Ridge,0.5325760703655897
Blog,Ridge,0.5250908079948208
Blog,Ridge,0.5247578169198368
Blog,Ridge,0.5362984114988677
Blog,Ridge,0.5311776467340849
Blog,Ridge,0.5376790395382623
Blog,Ridge,0.5493008963859339
Blog,Ridge,0.5414540468401815
Blog,Ridge,0.5397545000627657
Blog,Ridge,0.5376757251856435
Blog,Ridge,0.535841059903454
Blog,Ridge,0.5364193463861182
Blog,Ridge,0.5349785850537423
Blog,Ridge,0.5446426155465692
Blog,Ridge,0.5658488414873251
Blog,Ridge,0.5237564539956675
Blog,Ridge,0.5412014804790574
Blog,Ridge,0.5450721676171839
Blog,Ridge,0.5448032921821336
Blog,Ridge,0.5281988018113603
Blog,Ridge,0.5460469247755287
Blog,Ridge,0.5526761295229712
Blog,Ridge,0.5306198429576103
Blog,Ridge,0.5376778231177253
Blog,Ridge,0.5203410946087488
Blog,Ridge,0.5500668299094487
Blog,Ridge,0.5485219047512767
Blog,Ridge,0.5227979592339606
Blog,Ridge,0.5387991567311812
Blog,Ridge,0.5466207494911561
Blog,Ridge,0.5324122861055637
Blog,Ridge,0.5365815597156344
Blog,Ridge,0.5221708067313473
Blog,Ridge,0.5474946695599587
Blog,Ridge,0.5314495348451068
Blog,Ridge,0.5338486959432408
Blog,Ridge,0.5582660905540135
Blog,Ridge,0.5438613963864021
Blog,Ridge,0.5360884894632376
Blog,Ridge,0.5472125201456444
Blog,Ridge,0.5410681627258275
Blog,Ridge,0.5316469230373347
Blog,Ridge,0.5323070250750284
Blog,Ridge,0.5391604570175335
Blog,Ridge,0.5252079163960929
Blog,Ridge,0.5425155560249643
Blog,Ridge,0.5539930385756835
Blog,Ridge,0.5479788948256334
Blog,Ridge,0.5371714700340179
Blog,Ridge,0.537488038338261
Blog,Ridge,0.5369025616909728
Blog,Ridge,0.530703783684089
Blog,Ridge,0.5399199419633984
Blog,Ridge,0.5313952682608779
Blog,Ridge,0.5378896123070698
Blog,Ridge,0.5288518146153839
Blog,Ridge,0.5372194773822025
Blog,Ridge,0.5356058846626547
Blog,Ridge,0.5343269852634502
Blog,Ridge,0.5466373046463383
Blog,Ridge,0.5435808592979393
Blog,Ridge,0.5512771974590784
Blog,Ridge,0.5434755795944052
Blog,Ridge,0.5342130567759213
Blog,Ridge,0.5350088277967078
Blog,Ridge,0.5544270460959799
Blog,Ridge,0.5413809608610344
Blog,Ridge,0.5317739214962187
Blog,Ridge,0.5475132852819877
Blog,Ridge,0.5413444668425267
Blog,Ridge,0.5397650639747555
Blog,Ridge,0.5340286570163203
Blog,Ridge,0.5533015951082313
Blog,Ridge,0.5385773679542695
Blog,Ridge,0.5218076553950524
Blog,Ridge,0.5318230792289661
Blog,Ridge,0.5504160442095666
Blog,Ridge,0.5345615655632598
Blog,Ridge,0.5539807021450781
Blog,Ridge,0.5476219470816401
Blog,Ridge,0.5521091853942465
Blog,Ridge,0.5307640433858251
Blog,Ridge,0.5535430296627706
Blog,Ridge,0.5351156551711325
Blog,Ridge,0.5499609948561104
Blog,Ridge,0.5407603405144572
Blog,Ridge,0.5362649281415646
Blog,Ridge,0.5306213685432019
Blog,Ridge,0.5412197002241678
Blog,Ridge,0.5325685888503733
Blog,Ridge,0.5288056175445114
Blog,Ridge,0.5240034716521986
Blog,Ridge,0.5623974568090263
Blog,Ridge,0.5340941775716324
Blog,Ridge,0.5299964470254253
Blog,Ridge,0.5451695505705341
Blog,Ridge,0.5383830858083639
Blog,Ridge,0.5354351010898298
Blog,Ridge,0.540909162586628
Blog,Ridge,0.5369732457313949
Blog,Tree,0.6756951207037039
Blog,Tree,0.6479926551394002
Blog,Tree,0.6223797972793529
Blog,Tree,0.6603367825971517
Blog,Tree,0.6253718745391109
Blog,Tree,0.6643884411482625
Blog,Tree,0.7372647062047879
Blog,Tree,0.6555754329565295
Blog,Tree,0.6816752021192256
Blog,Tree,0.6204484100888592
Blog,Tree,0.7554652271233869
Blog,Tree,0.7283918507599982
Blog,Tree,0.6731911318930471
Blog,Tree,0.6755182818041815
Blog,Tree,0.627153442774449
Blog,Tree,0.6360167316620828
Blog,Tree,0.6595812178658743
Blog,Tree,0.6338045108375703
Blog,Tree,0.6186297897860872
Blog,Tree,0.6535189173965058
Blog,Tree,0.764372449401264
Blog,Tree,0.6396266656109824
Blog,Tree,0.598702377239277
Blog,Tree,0.6565706695913244
Blog,Tree,0.6249738694181431
Blog,Tree,0.6248439728735872
Blog,Tree,0.6505037170189163
Blog,Tree,0.6351577509195504
Blog,Tree,0.6067435967725058
Blog,Tree,0.6373898670999919
Blog,Tree,0.6501152428639174
Blog,Tree,0.649019556273441
Blog,Tree,0.6780642082477945
Blog,Tree,0.6495561552099405
Blog,Tree,0.6440154772049729
Blog,Tree,0.6077747000048368
Blog,Tree,0.7114480542526589
Blog,Tree,0.6199140368542426
Blog,Tree,0.6484803272769327
Blog,Tree,0.6686081552382648
Blog,Tree,0.6307352333097154
Blog,Tree,0.6148322376523797
Blog,Tree,0.6376363149038966
Blog,Tree,0.6636572246905168
Blog,Tree,0.6500194805555726
Blog,Tree,0.6023911512061603
Blog,Tree,0.6144935732396218
Blog,Tree,0.6464589505216197
Blog,Tree,0.6380215200091262
Blog,Tree,0.6379980384202992
Blog,Tree,0.6551832443105251
Blog,Tree,0.6051862207440133
Blog,Tree,0.6463522717545841
Blog,Tree,0.6531328086351811
Blog,Tree,0.6344370077199907
Blog,Tree,0.6616457146711283
Blog,Tree,0.6923422690348714
Blog,Tree,0.6270485058708601
Blog,Tree,0.6028002414433365
Blog,Tree,0.6437148427562266
Blog,Tree,0.6669957638666182
Blog,Tree,0.6591181200407371
Blog,Tree,0.7006194282704802
Blog,Tree,0.6392085728822715
Blog,Tree,0.6481209279418259
Blog,Tree,0.6492285062690177
Blog,Tree,0.6685753415387444
Blog,Tree,0.6887775456302277
Blog,Tree,0.6480781305693386
Blog,Tree,0.6335528869505357
Blog,Tree,0.6982605527994666
Blog,Tree,0.6092027650679027
Blog,Tree,0.6493842882731626
Blog,Tree,0.6271194324702766
Blog,Tree,0.6321633866101843
Blog,Tree,0.6649583598518499
Blog,Tree,0.7103108408311327
Blog,Tree,0.6155560844899998
Blog,Tree,0.6994848621784286
Blog,Tree,0.7505968264744105
Blog,Tree,0.5988209401971415
Blog,Tree,0.6185738619425799
Blog,Tree,0.6237558477393053
Blog,Tree,0.6334534128569456
Blog,Tree,0.700348100003086
Blog,Tree,0.631665676667901
Blog,Tree,0.6283424871144495
Blog,Tree,0.6656705689136756
Blog,Tree,0.6414264189142279
Blog,Tree,0.6964220132675129
Blog,Tree,0.6187950307490057
Blog,Tree,0.6424115028085882
Blog,Tree,0.6144883315005636
Blog,Tree,0.6548615753537137
Blog,Tree,0.6077005286729993
Blog,Tree,0.6437149120038798
Blog,Tree,0.6819048722593362
Blog,Tree,0.7268536600388645
Blog,Tree,0.6533107897519835
Blog,Tree,0.6366368382985022
Word,SVM,2.416530511264781
Word,SVM,2.2814410095882427
Word,SVM,2.675726563807595
Word,SVM,2.1469446662662546
Word,SVM,2.2842238735858094
Word,SVM,1.5659944297824375
Word,SVM,1.6972584312154049
Word,SVM,1.9265796343330648
Word,SVM,2.148789035741452
Word,SVM,2.220649249965585
Word,SVM,2.3133398635190288
Word,SVM,3.2295793505981054
Word,SVM,1.822327357054824
Word,SVM,2.2194865246897546
Word,SVM,2.7236681839675128
Word,SVM,2.0325129967770184
Word,SVM,2.2097329878586947
Word,SVM,2.904902950743538
Word,SVM,2.2325855270495256
Word,SVM,2.0959011317537812
Word,SVM,2.8331907313559253
Word,SVM,1.4328655909211236
Word,SVM,2.2568693126813706
Word,SVM,2.320141200498606
Word,SVM,1.983377502840453
Word,SVM,2.231197289580283
Word,SVM,2.1459270689468117
Word,SVM,2.753901582342128
Word,SVM,2.6176157222102017
Word,SVM,2.2437515786451603
Word,SVM,2.066448085924549
Word,SVM,3.0250010056509624
Word,SVM,1.6227318135755366
Word,SVM,3.130828617451732
Word,SVM,2.3368313577855475
Word,SVM,3.7962554776474704
Word,SVM,1.5869992267525943
Word,SVM,2.6302098283630504
Word,SVM,2.0706382420334544
Word,SVM,1.9802597466510423
Word,SVM,3.419219330089187
Word,SVM,2.2927286247585297
Word,SVM,2.8867889372299667
Word,SVM,2.599094888064488
Word,SVM,2.6306529056662344
Word,SVM,2.010049997491003
Word,SVM,2.124641699050494
Word,SVM,2.8625784024091834
Word,SVM,2.4654292934915327
Word,SVM,2.174982846384252
Word,SVM,2.31892100970098
Word,SVM,3.1774332900371536
Word,SVM,2.111365245700536
Word,SVM,2.7568425194702675
Word,SVM,2.1453939713455883
Word,SVM,2.792889660201888
Word,SVM,2.6852362850137195
Word,SVM,1.687781194228316
Word,SVM,1.8265507957404823
Word,SVM,3.0241275540909798
Word,SVM,1.8541360357045784
Word,SVM,2.56416182996382
Word,SVM,2.643323460268116
Word,SVM,2.090306279509317
Word,SVM,1.8488518051802922
Word,SVM,1.880954459340673
Word,SVM,1.9932725435711431
Word,SVM,2.9454389436090094
Word,SVM,2.3704775056334033
Word,SVM,2.1829046781003894
Word,SVM,2.193661819542197
Word,SVM,3.431754404312596
Word,SVM,2.418727783306609
Word,SVM,1.8650720497263735
Word,SVM,1.8893122700574967
Word,SVM,2.1383756526037736
Word,SVM,2.129033849719013
Word,SVM,1.7914519172379677
Word,SVM,2.304360762056965
Word,SVM,3.043087723475214
Word,SVM,1.7483861766150812
Word,SVM,2.458704549525817
Word,SVM,2.8054961790837574
Word,SVM,2.320927635756768
Word,SVM,2.642112797802129
Word,SVM,2.626534051870478
Word,SVM,3.1026733838084137
Word,SVM,2.862467967938629
Word,SVM,3.719544498331699
Word,SVM,2.713585901454276
Word,SVM,2.199066910086967
Word,SVM,1.8051028541143523
Word,SVM,2.0921421440987347
Word,SVM,2.519308034379994
Word,SVM,2.3294311667445613
Word,SVM,2.5805707357792578
Word,SVM,2.500518723503165
Word,SVM,3.6958023507044238
Word,SVM,2.3835547498410268
Word,SVM,3.7629245468328008
Word,Ridge,0.9048731398117212
Word,Ridge,0.7563805816103377
Word,Ridge,0.835989106455173
Word,Ridge,0.9394322784536324
Word,Ridge,0.9801548952298901
Word,Ridge,0.5916660535604052
Word,Ridge,0.7694065373336081
Word,Ridge,0.8564416108603866
Word,Ridge,0.8014506559202708
Word,Ridge,0.7358663350595027
Word,Ridge,1.0175282480552434
Word,Ridge,1.070482132706568
Word,Ridge,0.8627163951878489
Word,Ridge,0.901434900798042
Word,Ridge,0.8104600846639219
Word,Ridge,0.8682598853338751
Word,Ridge,0.9214012315049408
Word,Ridge,1.0409160223165623
Word,Ridge,0.8440194087392345
Word,Ridge,0.7897127765643273
Word,Ridge,1.0260903831882973
Word,Ridge,0.9974718717402656
Word,Ridge,0.8558144694763871
Word,Ridge,0.8930420108881989
Word,Ridge,0.8070143553464983
Word,Ridge,0.7714628844954002
Word,Ridge,1.0080988561734423
Word,Ridge,0.8969004755253603
Word,Ridge,0.9645889986298531
Word,Ridge,0.8543167397447786
Word,Ridge,0.8364854949936311
Word,Ridge,0.9639554297068756
Word,Ridge,0.6981031381944429
Word,Ridge,0.9781687164132836
Word,Ridge,0.6950751103818801
Word,Ridge,0.8206900817064223
Word,Ridge,0.7685555623801126
Word,Ridge,0.9241361476100616
Word,Ridge,0.7881401189766539
Word,Ridge,0.8310789397463904
Word,Ridge,1.1691779110070355
Word,Ridge,0.8554937414447931
Word,Ridge,0.957440486401191
Word,Ridge,1.1962912946716575
Word,Ridge,0.783637279022938
Word,Ridge,0.9819882566841588
Word,Ridge,0.8933909539016164
Word,Ridge,0.7581334186470908
Word,Ridge,0.7346423359605333
Word,Ridge,0.7212174502241814
Word,Ridge,0.923129513161396
Word,Ridge,0.9637420450379194
